,state,date,cases,deaths,population,emergdec,schoolclose,gathrestrict25,gathrestrictany,otherbusinessclose,restaurantrestrict,gathrestrict10,caseisolation,stayathome,publicmask,quarantine,nebusinessclose,travelrestrictintra,gathrestrict50,gathrecomany,gathrestrict250,gathrestrict5,gathrestrict100,gathrestrict1000,gathrestrict3,travelrestrictexit,travelrestrictentry,gathrestrict500,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate
6946,Pennsylvania,2020-06-22,86576,6426,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-14.0,-6.0,66.0,-33.0,-39.0,11.0,64105.0,16045.0,676.2699139953955,667848.0,,7.4223803363518766,5216.751865667124,
6947,Pennsylvania,2020-06-23,87208,6464,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-11.0,-1.0,73.0,-32.0,-38.0,11.0,64502.0,16242.0,681.2066468733882,679103.0,,7.41216402164939,5304.667891840871,
6948,Pennsylvania,2020-06-24,87685,6518,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,,,,,,,64502.0,16665.0,684.9326303904808,691408.0,,7.433426469749673,5400.785768523938,
6949,Pennsylvania,2020-06-25,88141,6557,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,,,,,,,65340.0,16244.0,688.4945768973868,704801.0,,7.4392167095903154,5505.402324591905,
6950,Pennsylvania,2020-06-26,88860,6579,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,,,,,,,65808.0,16473.0,694.1108916747232,719081.0,,7.403781228899393,5616.947491518701,
6951,Pennsylvania,2020-06-27,89446,6603,12801989.0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,,,,,,,65808.0,17035.0,698.6883053875456,719081.0,,7.382107640364017,5616.947491518701,
6952,Puerto Rico,2020-01-22,0,0,2933408.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
6953,Puerto Rico,2020-01-23,0,0,2933408.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
6954,Puerto Rico,2020-01-24,0,0,2933408.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
6955,Puerto Rico,2020-01-25,0,0,2933408.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
